Waste_Type,Material,Toxicity,Recyclable,Energy_Recovery,City
E-Waste,Battery,High,Yes,Low,Jamnagar
Plastic,HDPE,Medium,Yes,Low,Jamnagar
E-Waste,Circuit Board,Low,Yes,Low,Jamnagar
Paper,Cardboard,Medium,No,Medium,Vadodara
E-Waste,Wires,High,Yes,Medium,Jamnagar
Paper,Newspaper,High,No,Medium,Bhavnagar
Organic,Food Waste,Low,Yes,High,Bhavnagar
E-Waste,Battery,Low,Yes,Medium,Surat
Paper,Office Paper,Low,No,Low,Surat
Organic,Biodegradable,Low,Yes,High,Gandhinagar
Metal,Iron,Low,Yes,High,Surat
E-Waste,Battery,High,Yes,Low,Surat
E-Waste,Circuit Board,High,No,High,Surat
Paper,Cardboard,Medium,Yes,Medium,Surat
Organic,Garden Waste,Medium,Yes,Low,Rajkot
Plastic,PVC,High,No,Low,Surat
E-Waste,Wires,Low,Yes,Medium,Bhavnagar
Metal,Iron,Low,No,Medium,Rajkot
Metal,Aluminium,Low,Yes,Medium,Jamnagar
E-Waste,Battery,Low,No,Medium,Ahmedabad
Paper,Newspaper,High,No,Low,Bhavnagar
Paper,Newspaper,Medium,No,Low,Ahmedabad
Paper,Office Paper,Medium,Yes,Low,Bhavnagar
Paper,Newspaper,Medium,No,High,Vadodara
Plastic,PVC,Low,No,Medium,Rajkot
Metal,Steel,High,Yes,High,Gandhinagar
E-Waste,Wires,Low,No,Medium,Jamnagar
E-Waste,Battery,High,Yes,High,Ahmedabad
Paper,Office Paper,Medium,Yes,Medium,Jamnagar
Metal,Steel,Medium,Yes,Low,Ahmedabad
E-Waste,Wires,Medium,No,High,Surat
Organic,Food Waste,Low,Yes,Low,Surat
Plastic,PVC,High,Yes,Medium,Jamnagar
E-Waste,Wires,Low,Yes,High,Jamnagar
E-Waste,Battery,High,No,Medium,Jamnagar
E-Waste,Wires,High,Yes,High,Jamnagar
Paper,Cardboard,Medium,No,High,Bhavnagar
Paper,Cardboard,Low,Yes,Medium,Gandhinagar
Paper,Office Paper,High,No,High,Ahmedabad
Metal,Iron,Low,Yes,High,Vadodara
Organic,Garden Waste,High,No,High,Bhavnagar
Metal,Steel,Medium,Yes,Low,Vadodara
E-Waste,Circuit Board,Low,No,High,Gandhinagar
Plastic,HDPE,Medium,Yes,Medium,Rajkot
Organic,Food Waste,Medium,Yes,Low,Gandhinagar
Paper,Cardboard,Medium,No,Medium,Surat
Plastic,PET,High,No,Medium,Ahmedabad
E-Waste,Wires,Medium,No,Medium,Rajkot
Plastic,PET,Medium,Yes,High,Ahmedabad
Organic,Biodegradable,High,No,High,Jamnagar
Plastic,PET,Medium,No,Low,Ahmedabad
Plastic,PVC,Low,Yes,High,Surat
E-Waste,Wires,Low,Yes,Medium,Vadodara
Organic,Food Waste,Low,Yes,Medium,Vadodara
Plastic,HDPE,High,Yes,High,Gandhinagar
Paper,Newspaper,Medium,No,Low,Jamnagar
Plastic,PVC,High,Yes,High,Surat
Organic,Food Waste,Low,No,Low,Bhavnagar
E-Waste,Wires,Medium,Yes,Low,Gandhinagar
Metal,Iron,Medium,No,High,Rajkot
E-Waste,Circuit Board,Low,No,High,Ahmedabad
Plastic,PET,Medium,Yes,Low,Gandhinagar
Metal,Aluminium,Medium,Yes,Low,Vadodara
Paper,Cardboard,Low,No,Medium,Vadodara
E-Waste,Circuit Board,Low,No,High,Jamnagar
E-Waste,Circuit Board,Medium,No,Medium,Bhavnagar
Paper,Newspaper,High,No,Low,Ahmedabad
Plastic,PVC,Medium,No,Medium,Jamnagar
Plastic,HDPE,Low,No,High,Ahmedabad
Organic,Food Waste,Low,Yes,Medium,Rajkot
Organic,Biodegradable,Medium,Yes,Low,Ahmedabad
Paper,Cardboard,Medium,Yes,Low,Ahmedabad
Metal,Aluminium,Low,Yes,Medium,Surat
Metal,Steel,High,No,High,Vadodara
Plastic,PET,High,No,Medium,Jamnagar
E-Waste,Circuit Board,Low,Yes,Medium,Gandhinagar
Metal,Aluminium,Low,Yes,High,Vadodara
Plastic,PET,High,Yes,Medium,Jamnagar
Organic,Garden Waste,Low,Yes,Low,Vadodara
Metal,Steel,Medium,Yes,Low,Vadodara
Organic,Biodegradable,High,No,Medium,Jamnagar
Paper,Office Paper,Low,Yes,Low,Gandhinagar
Plastic,PET,High,Yes,High,Surat
E-Waste,Battery,Low,No,Medium,Vadodara
Plastic,PVC,Low,Yes,High,Ahmedabad
Organic,Food Waste,Low,No,Low,Jamnagar
Plastic,HDPE,Low,No,High,Rajkot
E-Waste,Circuit Board,Medium,No,Low,Ahmedabad
E-Waste,Wires,High,No,Low,Bhavnagar
Plastic,HDPE,Medium,Yes,Low,Ahmedabad
E-Waste,Wires,Medium,No,Medium,Vadodara
E-Waste,Wires,Low,Yes,Medium,Rajkot
E-Waste,Battery,Low,Yes,Low,Gandhinagar
Organic,Food Waste,Medium,Yes,High,Ahmedabad
Metal,Iron,Medium,Yes,Low,Gandhinagar
Organic,Biodegradable,High,Yes,Low,Vadodara
Plastic,HDPE,High,Yes,Medium,Vadodara
Metal,Iron,Low,No,High,Vadodara
Metal,Aluminium,Low,No,Medium,Gandhinagar
Organic,Biodegradable,High,Yes,High,Vadodara
Organic,Biodegradable,Medium,No,High,Ahmedabad
Metal,Iron,Medium,Yes,High,Rajkot
Organic,Food Waste,Medium,Yes,High,Ahmedabad
E-Waste,Battery,Medium,No,High,Surat
Paper,Newspaper,Medium,No,Low,Surat
E-Waste,Battery,Medium,No,Medium,Rajkot
Paper,Cardboard,Low,Yes,High,Surat
Plastic,PVC,Low,No,High,Vadodara
Plastic,HDPE,Low,No,Medium,Gandhinagar
Organic,Garden Waste,Medium,No,Low,Gandhinagar
Organic,Garden Waste,High,Yes,Low,Surat
Paper,Office Paper,High,Yes,High,Vadodara
Plastic,PET,Low,Yes,Medium,Surat
Paper,Office Paper,High,No,High,Rajkot
Organic,Biodegradable,High,Yes,Low,Surat
Plastic,HDPE,Medium,No,Low,Ahmedabad
Organic,Garden Waste,Low,Yes,Medium,Rajkot
E-Waste,Wires,Low,No,Low,Bhavnagar
Plastic,HDPE,High,Yes,High,Gandhinagar
Organic,Garden Waste,Low,Yes,High,Rajkot
Metal,Iron,Medium,No,Low,Rajkot
Metal,Iron,High,No,Low,Gandhinagar
Paper,Newspaper,Low,Yes,Low,Bhavnagar
Plastic,PET,Low,No,High,Rajkot
Metal,Iron,Low,Yes,Medium,Surat
Organic,Garden Waste,Medium,Yes,High,Bhavnagar
Metal,Iron,Low,Yes,High,Ahmedabad
Plastic,PET,High,No,Low,Rajkot
Metal,Steel,Low,No,Medium,Vadodara
Organic,Food Waste,Medium,No,High,Vadodara
Metal,Steel,Medium,Yes,Low,Surat
E-Waste,Circuit Board,Medium,No,Low,Vadodara
Plastic,PVC,High,Yes,Low,Ahmedabad
E-Waste,Battery,High,Yes,High,Surat
Plastic,PVC,Medium,Yes,High,Gandhinagar
Paper,Newspaper,High,Yes,Low,Rajkot
Metal,Steel,Medium,No,High,Gandhinagar
Organic,Biodegradable,High,No,Low,Gandhinagar
E-Waste,Battery,High,Yes,Low,Bhavnagar
Organic,Biodegradable,Low,Yes,High,Jamnagar
Paper,Newspaper,Low,Yes,Medium,Gandhinagar
Plastic,PVC,Low,Yes,Low,Gandhinagar
Organic,Garden Waste,Medium,No,High,Surat
Plastic,HDPE,Medium,No,High,Ahmedabad
E-Waste,Wires,High,Yes,High,Surat
E-Waste,Wires,Low,Yes,High,Surat
Plastic,PET,Low,No,Medium,Jamnagar
E-Waste,Battery,Low,Yes,Medium,Rajkot
E-Waste,Wires,High,Yes,Low,Gandhinagar
Metal,Aluminium,Medium,No,Low,Ahmedabad
Metal,Steel,Low,No,Low,Surat
E-Waste,Circuit Board,High,Yes,Medium,Gandhinagar
E-Waste,Wires,Medium,Yes,High,Rajkot
E-Waste,Battery,High,Yes,High,Jamnagar
Plastic,HDPE,Low,No,High,Bhavnagar
Metal,Iron,High,No,High,Ahmedabad
E-Waste,Wires,Low,No,Low,Bhavnagar
Plastic,PET,Medium,Yes,Low,Gandhinagar
Plastic,HDPE,Low,No,High,Surat
Paper,Office Paper,Low,Yes,High,Bhavnagar
E-Waste,Battery,Low,Yes,Medium,Jamnagar
E-Waste,Wires,High,No,Medium,Surat
Metal,Aluminium,Medium,Yes,Low,Surat
Plastic,HDPE,Medium,No,Medium,Vadodara
Organic,Biodegradable,High,No,Low,Gandhinagar
E-Waste,Wires,High,Yes,Medium,Ahmedabad
Plastic,PET,Medium,Yes,Medium,Vadodara
E-Waste,Wires,High,Yes,High,Bhavnagar
E-Waste,Wires,High,No,Medium,Rajkot
Metal,Aluminium,Medium,No,High,Gandhinagar
Paper,Office Paper,Low,Yes,Medium,Surat
Plastic,PET,Medium,Yes,Medium,Surat
E-Waste,Wires,High,Yes,High,Jamnagar
Organic,Food Waste,High,Yes,Low,Bhavnagar
E-Waste,Battery,High,No,Medium,Rajkot
Paper,Newspaper,Medium,Yes,High,Vadodara
Plastic,HDPE,Medium,No,High,Bhavnagar
Organic,Food Waste,Medium,No,Medium,Vadodara
Plastic,PVC,High,Yes,High,Ahmedabad
E-Waste,Wires,High,No,Medium,Vadodara
Paper,Office Paper,Medium,No,Medium,Bhavnagar
Plastic,PET,Low,No,Medium,Surat
Organic,Food Waste,High,Yes,Low,Surat
Plastic,PET,High,No,Low,Surat
Plastic,PET,Medium,No,Medium,Gandhinagar
E-Waste,Wires,Medium,Yes,Medium,Ahmedabad
Paper,Office Paper,Low,Yes,Medium,Vadodara
Metal,Iron,Medium,Yes,Low,Jamnagar
E-Waste,Battery,High,No,Low,Jamnagar
Organic,Biodegradable,High,Yes,Low,Bhavnagar
Metal,Steel,High,No,High,Gandhinagar
Organic,Garden Waste,Low,Yes,High,Ahmedabad
Metal,Iron,High,Yes,Medium,Ahmedabad
Metal,Aluminium,High,No,Medium,Surat
Paper,Cardboard,High,No,Medium,Bhavnagar
E-Waste,Circuit Board,Medium,No,Medium,Vadodara
Plastic,PET,Medium,Yes,High,Gandhinagar
E-Waste,Battery,High,Yes,Medium,Gandhinagar
E-Waste,Battery,Low,No,Low,Surat
Plastic,HDPE,Medium,Yes,High,Ahmedabad
Metal,Aluminium,Medium,Yes,High,Ahmedabad
Plastic,PET,Low,Yes,High,Surat
Plastic,PET,Low,No,Medium,Ahmedabad
Paper,Cardboard,Low,No,Medium,Vadodara
Organic,Garden Waste,Low,Yes,High,Jamnagar
Metal,Iron,Low,Yes,Low,Ahmedabad
Metal,Aluminium,High,Yes,High,Bhavnagar
Organic,Biodegradable,High,Yes,Medium,Surat
Plastic,PVC,Medium,Yes,High,Ahmedabad
Plastic,PET,Low,No,Low,Vadodara
E-Waste,Circuit Board,High,No,Low,Jamnagar
Plastic,HDPE,Medium,No,High,Ahmedabad
Organic,Biodegradable,Low,No,Low,Surat
Paper,Office Paper,High,No,Low,Rajkot
E-Waste,Circuit Board,Low,Yes,Medium,Vadodara
Paper,Office Paper,Medium,No,Low,Surat
Paper,Newspaper,Medium,Yes,Low,Ahmedabad
Metal,Steel,Low,No,High,Rajkot
Metal,Iron,Medium,Yes,High,Ahmedabad
Metal,Steel,Medium,No,Medium,Jamnagar
Plastic,HDPE,Low,Yes,Medium,Ahmedabad
Plastic,HDPE,Low,No,Medium,Gandhinagar
Metal,Steel,Low,No,Low,Vadodara
Organic,Food Waste,High,Yes,Medium,Bhavnagar
Paper,Newspaper,High,Yes,Medium,Jamnagar
Organic,Food Waste,Low,No,Medium,Gandhinagar
E-Waste,Wires,Low,No,Medium,Rajkot
Metal,Steel,High,Yes,High,Rajkot
Paper,Cardboard,Low,Yes,Low,Surat
Plastic,HDPE,Medium,Yes,Medium,Vadodara
Metal,Steel,Medium,No,Low,Ahmedabad
Metal,Iron,High,No,High,Bhavnagar
Metal,Steel,High,No,Medium,Gandhinagar
Plastic,PVC,Low,No,High,Vadodara
Plastic,PVC,Medium,Yes,Low,Bhavnagar
Metal,Steel,High,Yes,Low,Vadodara
Metal,Steel,Medium,Yes,Medium,Gandhinagar
Organic,Food Waste,Medium,No,Low,Jamnagar
Paper,Cardboard,High,Yes,High,Surat
Plastic,PET,Medium,Yes,Low,Rajkot
Paper,Office Paper,High,Yes,Low,Surat
Plastic,HDPE,High,Yes,High,Bhavnagar
Paper,Cardboard,High,Yes,Low,Bhavnagar
Organic,Garden Waste,Medium,No,Medium,Gandhinagar
Metal,Steel,High,Yes,Medium,Ahmedabad
Organic,Food Waste,Low,No,High,Gandhinagar
Paper,Newspaper,High,No,Medium,Rajkot
Organic,Biodegradable,High,No,Low,Bhavnagar
Plastic,PVC,Low,No,Low,Vadodara
E-Waste,Circuit Board,High,No,High,Surat
Paper,Newspaper,High,Yes,Medium,Vadodara
Plastic,PVC,Medium,Yes,Medium,Surat
Organic,Biodegradable,High,No,Low,Ahmedabad
Plastic,HDPE,Medium,Yes,Medium,Surat
Paper,Office Paper,High,No,Low,Gandhinagar
Metal,Steel,High,No,Low,Ahmedabad
Paper,Office Paper,High,Yes,High,Rajkot
Paper,Newspaper,High,No,Medium,Bhavnagar
Organic,Biodegradable,Medium,Yes,Medium,Gandhinagar
Plastic,PET,Medium,Yes,Medium,Surat
Organic,Food Waste,High,No,Low,Rajkot
Paper,Cardboard,Medium,Yes,Low,Ahmedabad
Plastic,HDPE,Low,No,High,Ahmedabad
Metal,Iron,High,Yes,Medium,Rajkot
Organic,Biodegradable,High,No,Medium,Vadodara
Plastic,PET,Low,Yes,Medium,Gandhinagar
Metal,Steel,High,Yes,High,Surat
Metal,Steel,Low,No,Medium,Ahmedabad
Plastic,PET,Medium,No,High,Rajkot
Organic,Garden Waste,Low,No,Medium,Jamnagar
Organic,Food Waste,High,Yes,Medium,Vadodara
Plastic,HDPE,High,No,Low,Bhavnagar
Paper,Office Paper,Medium,Yes,Medium,Jamnagar
E-Waste,Wires,High,Yes,Low,Rajkot
Plastic,PVC,High,No,Low,Gandhinagar
Paper,Newspaper,Medium,Yes,Medium,Vadodara
Plastic,PET,High,Yes,Medium,Rajkot
Paper,Newspaper,Medium,Yes,Medium,Vadodara
Organic,Biodegradable,High,No,Medium,Vadodara
E-Waste,Wires,Low,Yes,Medium,Vadodara
Plastic,HDPE,Low,Yes,High,Bhavnagar
E-Waste,Wires,Medium,Yes,Low,Rajkot
Organic,Garden Waste,Medium,Yes,Low,Surat
Paper,Cardboard,High,Yes,Low,Rajkot
Metal,Aluminium,High,Yes,Low,Vadodara
Organic,Food Waste,Medium,No,Low,Bhavnagar
Plastic,PET,High,Yes,Medium,Gandhinagar
Metal,Aluminium,Medium,No,Medium,Bhavnagar
E-Waste,Battery,Medium,Yes,High,Gandhinagar
E-Waste,Wires,High,Yes,Low,Surat
Metal,Steel,Low,Yes,High,Jamnagar
Paper,Cardboard,Low,Yes,High,Vadodara
Metal,Iron,High,Yes,High,Ahmedabad
E-Waste,Circuit Board,High,No,High,Rajkot
E-Waste,Circuit Board,Low,No,Medium,Vadodara
Paper,Office Paper,Medium,Yes,High,Vadodara
Organic,Biodegradable,Low,No,Medium,Bhavnagar
Plastic,HDPE,Medium,Yes,Medium,Rajkot
Metal,Steel,Low,No,Low,Gandhinagar
Metal,Iron,High,No,High,Gandhinagar
E-Waste,Circuit Board,Low,Yes,High,Vadodara
Plastic,PET,Low,Yes,Low,Jamnagar
Plastic,HDPE,Low,No,Medium,Gandhinagar
Plastic,PVC,Low,No,Low,Rajkot
Paper,Office Paper,Medium,No,Medium,Vadodara
Organic,Food Waste,Medium,No,High,Ahmedabad
Plastic,PVC,Medium,No,High,Gandhinagar
E-Waste,Battery,High,Yes,High,Gandhinagar
Plastic,PVC,High,Yes,High,Rajkot
Paper,Office Paper,Medium,No,Low,Vadodara
Metal,Iron,Low,No,Low,Bhavnagar
Paper,Office Paper,High,Yes,Low,Gandhinagar
Plastic,PET,Medium,Yes,Low,Ahmedabad
Organic,Food Waste,High,No,High,Bhavnagar
Organic,Garden Waste,Low,No,High,Gandhinagar
Organic,Garden Waste,High,Yes,Low,Ahmedabad
E-Waste,Battery,Medium,No,High,Surat
E-Waste,Wires,Low,Yes,High,Gandhinagar
Metal,Iron,High,Yes,Low,Bhavnagar
Plastic,HDPE,Low,No,High,Bhavnagar
Paper,Cardboard,Medium,No,High,Jamnagar
Metal,Iron,Low,No,Medium,Jamnagar
Paper,Newspaper,High,No,High,Ahmedabad
Organic,Garden Waste,Medium,Yes,Low,Surat
Plastic,HDPE,Low,Yes,High,Jamnagar
Organic,Biodegradable,High,No,Medium,Ahmedabad
Metal,Iron,Low,No,Medium,Ahmedabad
Plastic,PVC,Medium,No,Medium,Rajkot
E-Waste,Circuit Board,Medium,No,High,Jamnagar
Plastic,PVC,High,No,High,Bhavnagar
Plastic,HDPE,Medium,No,Medium,Jamnagar
Metal,Steel,Medium,Yes,High,Surat
E-Waste,Wires,Low,Yes,High,Vadodara
Metal,Aluminium,High,No,Low,Gandhinagar
Metal,Steel,High,Yes,Medium,Jamnagar
Metal,Steel,Medium,No,Medium,Rajkot
Metal,Steel,Low,No,Medium,Bhavnagar
Organic,Garden Waste,High,Yes,Low,Ahmedabad
E-Waste,Wires,High,No,Medium,Vadodara
Paper,Cardboard,Low,Yes,Low,Rajkot
Paper,Cardboard,Low,Yes,High,Rajkot
Metal,Aluminium,Medium,No,Medium,Bhavnagar
E-Waste,Wires,Low,Yes,Low,Rajkot
Paper,Cardboard,Medium,Yes,High,Surat
Organic,Food Waste,Medium,No,Medium,Gandhinagar
Plastic,HDPE,High,Yes,Low,Ahmedabad
Plastic,HDPE,Medium,Yes,Medium,Ahmedabad
Plastic,PET,Medium,No,Medium,Ahmedabad
E-Waste,Circuit Board,Medium,Yes,High,Gandhinagar
E-Waste,Wires,Low,No,High,Surat
Metal,Steel,Medium,No,High,Rajkot
Organic,Food Waste,Low,No,Low,Surat
Metal,Steel,Low,No,Low,Gandhinagar
Plastic,HDPE,Low,No,High,Rajkot
Plastic,HDPE,Medium,Yes,High,Rajkot
E-Waste,Battery,High,Yes,Medium,Vadodara
Plastic,PVC,High,Yes,Medium,Ahmedabad
E-Waste,Battery,Low,Yes,High,Vadodara
Paper,Office Paper,Medium,No,Low,Gandhinagar
Paper,Cardboard,High,Yes,High,Gandhinagar
Organic,Biodegradable,Low,No,Medium,Gandhinagar
E-Waste,Circuit Board,Medium,No,High,Surat
E-Waste,Battery,Medium,Yes,Medium,Vadodara
E-Waste,Wires,Medium,Yes,Medium,Jamnagar
Metal,Steel,Low,No,High,Ahmedabad
Paper,Newspaper,Medium,No,Low,Rajkot
E-Waste,Battery,Low,Yes,High,Gandhinagar
Paper,Cardboard,High,Yes,Low,Bhavnagar
E-Waste,Circuit Board,High,No,Medium,Vadodara
Plastic,HDPE,High,No,Low,Surat
Plastic,HDPE,Medium,No,High,Gandhinagar
Metal,Iron,Medium,Yes,Medium,Rajkot
Metal,Steel,Low,No,Medium,Vadodara
E-Waste,Battery,Medium,No,Low,Surat
Organic,Biodegradable,Medium,Yes,Medium,Jamnagar
Plastic,HDPE,Medium,Yes,Medium,Gandhinagar
Metal,Aluminium,High,No,High,Jamnagar
Plastic,HDPE,Medium,No,High,Rajkot
Plastic,PET,High,Yes,High,Rajkot
Paper,Newspaper,Low,No,High,Vadodara
Metal,Iron,High,Yes,High,Bhavnagar
Organic,Garden Waste,Low,No,Medium,Surat
Organic,Food Waste,Medium,Yes,High,Gandhinagar
Paper,Cardboard,High,Yes,Medium,Vadodara
Paper,Newspaper,High,Yes,Medium,Vadodara
Metal,Steel,Medium,Yes,Medium,Vadodara
E-Waste,Wires,Low,No,High,Gandhinagar
Metal,Iron,Low,No,Low,Ahmedabad
Plastic,PET,High,Yes,Medium,Gandhinagar
Plastic,PET,Medium,No,Low,Rajkot
Metal,Iron,Low,Yes,Medium,Gandhinagar
E-Waste,Wires,High,Yes,Medium,Ahmedabad
E-Waste,Battery,Medium,Yes,Medium,Gandhinagar
E-Waste,Circuit Board,Low,No,High,Ahmedabad
Plastic,PET,Low,Yes,Medium,Jamnagar
Metal,Steel,Medium,Yes,Low,Bhavnagar
Plastic,HDPE,Medium,Yes,Medium,Rajkot
E-Waste,Battery,Low,Yes,Medium,Rajkot
Paper,Newspaper,Medium,Yes,Medium,Bhavnagar
Metal,Steel,High,No,Medium,Bhavnagar
Metal,Aluminium,Medium,No,Low,Bhavnagar
Plastic,PVC,Low,Yes,Low,Bhavnagar
E-Waste,Circuit Board,Low,No,Low,Jamnagar
Paper,Newspaper,Medium,Yes,Low,Surat
Organic,Food Waste,Medium,Yes,Medium,Jamnagar
E-Waste,Circuit Board,High,No,Low,Rajkot
E-Waste,Battery,Low,No,High,Surat
Organic,Garden Waste,Medium,No,Medium,Ahmedabad
Paper,Cardboard,Medium,Yes,Low,Jamnagar
Plastic,PVC,High,No,Medium,Gandhinagar
Organic,Garden Waste,Medium,Yes,High,Jamnagar
Organic,Garden Waste,Medium,No,High,Gandhinagar
Plastic,PVC,High,Yes,Medium,Rajkot
Organic,Biodegradable,Low,No,Low,Vadodara
Organic,Garden Waste,Low,Yes,Low,Vadodara
Metal,Aluminium,Medium,No,Medium,Jamnagar
E-Waste,Circuit Board,Low,Yes,High,Rajkot
Metal,Steel,Low,No,High,Bhavnagar
Organic,Garden Waste,Medium,No,Low,Gandhinagar
Paper,Office Paper,Low,Yes,Medium,Gandhinagar
Paper,Office Paper,High,No,High,Vadodara
Plastic,PET,Medium,No,Low,Vadodara
Organic,Garden Waste,Low,Yes,High,Ahmedabad
Paper,Newspaper,Low,No,Medium,Surat
Organic,Biodegradable,Medium,No,High,Jamnagar
Metal,Iron,High,No,Medium,Surat
Organic,Biodegradable,High,No,High,Vadodara
Plastic,HDPE,Low,No,Low,Bhavnagar
Paper,Office Paper,Low,No,Low,Bhavnagar
Organic,Biodegradable,Medium,Yes,High,Rajkot
Paper,Office Paper,High,No,Low,Rajkot
Plastic,HDPE,Medium,No,Low,Rajkot
E-Waste,Battery,Low,Yes,Low,Surat
E-Waste,Wires,High,No,Medium,Surat
Paper,Office Paper,High,Yes,Low,Ahmedabad
E-Waste,Circuit Board,High,Yes,Medium,Ahmedabad
E-Waste,Battery,Medium,Yes,Medium,Vadodara
Metal,Steel,Medium,Yes,Low,Jamnagar
Paper,Cardboard,Medium,Yes,High,Bhavnagar
Organic,Food Waste,Low,No,High,Bhavnagar
E-Waste,Wires,Low,No,High,Surat
Metal,Aluminium,Medium,Yes,High,Ahmedabad
Organic,Biodegradable,High,No,High,Gandhinagar
E-Waste,Battery,Medium,Yes,High,Ahmedabad
Plastic,PVC,Low,Yes,Low,Rajkot
Paper,Office Paper,Low,Yes,Low,Ahmedabad
E-Waste,Wires,High,No,Low,Gandhinagar
Plastic,PET,Medium,Yes,Low,Vadodara
Paper,Newspaper,Low,Yes,Medium,Ahmedabad
Plastic,PVC,Low,No,Low,Gandhinagar
Paper,Office Paper,Medium,No,Medium,Jamnagar
Paper,Office Paper,High,Yes,Low,Gandhinagar
E-Waste,Circuit Board,Medium,Yes,Medium,Ahmedabad
E-Waste,Circuit Board,High,Yes,Low,Vadodara
E-Waste,Circuit Board,High,Yes,Low,Gandhinagar
Organic,Food Waste,Medium,Yes,Low,Bhavnagar
Metal,Iron,Medium,No,Low,Rajkot
Paper,Office Paper,Low,Yes,Low,Rajkot
Organic,Biodegradable,High,Yes,Medium,Ahmedabad
Organic,Food Waste,Low,Yes,High,Gandhinagar
Organic,Food Waste,Low,No,Low,Rajkot
Organic,Garden Waste,Medium,No,High,Vadodara
Metal,Iron,Medium,Yes,Low,Ahmedabad
E-Waste,Wires,Low,No,High,Ahmedabad
E-Waste,Circuit Board,High,Yes,Medium,Bhavnagar
Organic,Garden Waste,Low,Yes,Medium,Ahmedabad
Paper,Cardboard,High,Yes,High,Ahmedabad
Organic,Biodegradable,High,Yes,High,Jamnagar
Plastic,PVC,High,Yes,Medium,Surat
Organic,Biodegradable,High,Yes,Medium,Rajkot
E-Waste,Wires,Medium,No,High,Gandhinagar
Metal,Iron,Low,Yes,High,Jamnagar
Organic,Food Waste,Medium,No,Medium,Vadodara
E-Waste,Circuit Board,Low,No,Low,Ahmedabad
Organic,Biodegradable,Medium,No,Medium,Vadodara
Metal,Aluminium,Medium,Yes,High,Jamnagar
Paper,Cardboard,Medium,No,Low,Ahmedabad
Paper,Office Paper,Low,No,Low,Ahmedabad
Paper,Cardboard,Medium,No,High,Rajkot
Plastic,PVC,Low,No,High,Jamnagar
Metal,Aluminium,Medium,No,High,Ahmedabad
Paper,Newspaper,Medium,Yes,Low,Jamnagar
Metal,Steel,Medium,No,Medium,Surat
Paper,Cardboard,Medium,Yes,Medium,Ahmedabad
Plastic,HDPE,High,No,Low,Bhavnagar
E-Waste,Circuit Board,Low,Yes,High,Ahmedabad
Organic,Biodegradable,Low,No,Low,Vadodara
E-Waste,Circuit Board,Low,No,Medium,Surat
Organic,Garden Waste,Low,No,Medium,Gandhinagar
Organic,Food Waste,Low,No,Medium,Ahmedabad
E-Waste,Circuit Board,Low,No,Low,Vadodara
E-Waste,Wires,Low,No,High,Vadodara
E-Waste,Wires,High,No,Medium,Ahmedabad
Organic,Biodegradable,High,No,High,Gandhinagar
Metal,Iron,Medium,Yes,High,Rajkot
Paper,Cardboard,Low,Yes,Medium,Gandhinagar
Plastic,HDPE,Medium,No,High,Bhavnagar
Paper,Newspaper,Low,Yes,Medium,Ahmedabad
Metal,Iron,Medium,No,High,Jamnagar
E-Waste,Battery,High,No,Low,Gandhinagar
Metal,Aluminium,Low,Yes,High,Surat
Plastic,HDPE,High,Yes,Low,Ahmedabad
Metal,Steel,High,Yes,High,Gandhinagar
Organic,Food Waste,High,Yes,Low,Vadodara
Paper,Cardboard,Low,No,Medium,Bhavnagar
Paper,Office Paper,Medium,No,Low,Ahmedabad
Paper,Cardboard,High,No,Low,Rajkot
Organic,Garden Waste,Low,No,Low,Bhavnagar
Organic,Biodegradable,Low,No,Low,Jamnagar
Paper,Cardboard,Low,No,Low,Rajkot
Plastic,PVC,High,Yes,High,Vadodara
Plastic,HDPE,Medium,No,High,Bhavnagar
Paper,Newspaper,Low,Yes,Medium,Ahmedabad
E-Waste,Battery,High,No,Medium,Gandhinagar
Organic,Food Waste,High,Yes,High,Rajkot
Organic,Biodegradable,Low,No,Medium,Ahmedabad
Plastic,HDPE,Medium,Yes,High,Bhavnagar
Organic,Food Waste,High,No,High,Jamnagar
Paper,Newspaper,Low,Yes,High,Vadodara
Paper,Cardboard,High,No,Medium,Bhavnagar
E-Waste,Battery,Low,No,Medium,Rajkot
Organic,Biodegradable,Medium,Yes,Low,Ahmedabad
E-Waste,Wires,High,Yes,High,Rajkot
Metal,Aluminium,Low,Yes,High,Ahmedabad
Organic,Garden Waste,Low,No,High,Ahmedabad
E-Waste,Circuit Board,High,Yes,Medium,Vadodara
Organic,Garden Waste,Low,Yes,Low,Surat
E-Waste,Wires,Medium,No,Medium,Jamnagar
Organic,Biodegradable,Medium,Yes,Low,Jamnagar
Paper,Newspaper,Medium,No,High,Vadodara
Plastic,HDPE,High,No,High,Rajkot
Metal,Iron,Low,Yes,Low,Vadodara
Plastic,PVC,High,Yes,High,Rajkot
Organic,Food Waste,High,Yes,Medium,Jamnagar
E-Waste,Circuit Board,Low,No,High,Gandhinagar
Paper,Office Paper,Low,No,High,Ahmedabad
Paper,Cardboard,Low,Yes,High,Gandhinagar
Paper,Cardboard,Low,Yes,Medium,Vadodara
Plastic,HDPE,Medium,No,High,Rajkot
E-Waste,Wires,Medium,No,Medium,Rajkot
Metal,Iron,Medium,No,Low,Rajkot
Organic,Food Waste,Low,Yes,Low,Rajkot
Metal,Steel,Medium,No,Medium,Jamnagar
Organic,Biodegradable,Low,Yes,Low,Vadodara
